0301300008|15368|0323300007|EQUITY|
0301300008|12368|0323100010|EQUITY|
0301300008|24106|0307200015|EQUITY|
0301300008|27434|0334400018|EQUITY|
0301300008|5773|0311301002|EQUITY|
0301300008|10956|0313300021|EQUITY|
0301300008|20878|0317100007|EQUITY|
0301300008|4278|0311400021|EQUITY|
0301300008|35957|0331100045|EQUITY|
0301300008|14850|0304300074|EQUITY|
0301300008|19452|0317200002|EQUITY|
0301300016|6792|0311301004|EQUITY|
0301300017|14753|0304300072|EQUITY|
0301300017|22687|0328100012|EQUITY|
0301300017|26448|0336400013|EQUITY|
0301300017|1096|0302400021|EQUITY|
0301300017|15999|0323300008|EQUITY|
0301300017|18708|0305400021|EQUITY|
0301300017|24463|0335300019|EQUITY|
0301300017|8477|0314100024|EQUITY|
0301300017|12881|0323101004|EQUITY|
0301300017|8870|0303300006|EQUITY|
0301300017|16171|0304300059|EQUITY|
0301300017|14797|0304300058|EQUITY|
0301300017|26417|0336400012|EQUITY|
0301300017|4225|0311400008|EQUITY|
0301300017|7846|0314100010|EQUITY|
0301300017|18230|0326101007|EQUITY|
0301300017|18310|0325100018|EQUITY|
0301300017|4596|0311400010|EQUITY|
0301300017|26258|0336400010|EQUITY|
0301300017|1805|0302400034|EQUITY|
0301300038|6457|0311400014|EQUITY|
0301300038|6151|0311400017|EQUITY|
0301300038|17345|0323400010|EQUITY|
0301300038|15865|0323400006|EQUITY|
0301300038|11472|0314300002|EQUITY|
0301301003|6391|0312300009|EQUITY|
0301301003|7994|0311300007|EQUITY|
0301301003|8513|0311300010|EQUITY|
0301400034|6929|0311200008|EQUITY|
0301400034|4809|0312101001|EQUITY|
0302300005|5857|0309200035|EQUITY|
0302300005|1755|0302300014|EQUITY|
0302300005|239|0302300027|EQUITY|
0302300005|300|0302300025|EQUITY|
0302300005|1439|0302300011|EQUITY|
0302300006|722|0302300038|EQUITY|
0302300009|776|0302300030|EQUITY|
0302300009|4276|0303300004|EQUITY|
0302300009|408|0302300037|EQUITY|
0302300010|1094|0302300021|EQUITY|
0302300010|1079|0302300058|EQUITY|
0302300010|745|0302300055|EQUITY|
0302300011|1443|0302300025|EQUITY|
0302300011|1305|0302300027|EQUITY|
0302300011|957|0302300019|EQUITY|
0302300011|1663|0303400004|EQUITY|
0302300012|1874|0303400003|EQUITY|
0302300012|519|0302300018|EQUITY|
